[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Restoring connection for e34376b5-ba85-4795-846e-328e01505641:eaf3a0f6163d4daaaa59227168aa2fd6
[NotebookApp | INFO] Replaying 5 buffered messages
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/PassportOpt.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (::1) 4.99ms referer=http://localhost:8888/notebooks/Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Starting buffering for bfb652b9-433f-460a-be98-ffe8d22745d9:501b90b2a4a04dfa8880bb17d466286e
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Starting buffering for bfb652b9-433f-460a-be98-ffe8d22745d9:8e35d0af0db444bfba9df6e70ccffe82
[NotebookApp | INFO] Kernel restarted: bfb652b9-433f-460a-be98-ffe8d22745d9
[NotebookApp | INFO] Restoring connection for bfb652b9-433f-460a-be98-ffe8d22745d9:8e35d0af0db444bfba9df6e70ccffe82
[NotebookApp | INFO] Replaying 6 buffered messages
[NotebookApp | INFO] Saving file at /Notebooks_Lecture/ToyFactoryOpt.ipynb
[NotebookApp | INFO] Interrupted...
[NotebookApp | INFO] Shutting down 4 kernels
[NotebookApp | INFO] Kernel shutdown: bfb652b9-433f-460a-be98-ffe8d22745d9
[NotebookApp | INFO] Kernel shutdown: 4f5c4ed5-2e06-4b67-9f6d-157c3ec9a833
[NotebookApp | INFO] Kernel shutdown: d91d8c86-12f0-4489-8b35-6d765fe62b08
[NotebookApp | INFO] Kernel shutdown: e34376b5-ba85-4795-846e-328e01505641
