"DateTime";"grid (77) (kw)";"solar (77) (kw)"
"2018-05-02 13:30:00";0,618;1,81
"2018-05-02 13:45:00";1,432;0,895
"2018-05-02 14:00:00";1,992;1,032
"2018-05-02 14:15:00";3,055;1,074
"2018-05-02 14:30:00";3,242;0,946
"2018-05-02 14:45:00";3,157;0,843
"2018-05-02 15:00:00";3,174;0,769
"2018-05-02 15:15:00";3,048;0,815
"2018-05-02 15:30:00";3,287;0,715
"2018-05-02 15:45:00";3,374;0,662
"2018-05-02 16:00:00";2,869;1,236
"2018-05-02 16:15:00";2,521;1,538
"2018-05-02 16:30:00";2,611;1,534
"2018-05-02 16:45:00";2,994;1,318
"2018-05-02 17:00:00";3,166;0,881
"2018-05-02 17:15:00";3,247;0,887
"2018-05-02 17:30:00";3,453;0,636
"2018-05-02 17:45:00";3,572;0,686
"2018-05-02 18:00:00";4,123;0,529
"2018-05-02 18:15:00";4,504;0,368
"2018-05-02 18:30:00";4,375;0,26
"2018-05-02 18:45:00";4,31;0,114
"2018-05-02 19:00:00";4,306;0,04
"2018-05-02 19:15:00";7,689;-0,009
"2018-05-02 19:30:00";7,391;-0,009
"2018-05-02 19:45:00";6,216;-0,007
"2018-05-02 20:00:00";5,25;-0,007
"2018-05-02 20:15:00";4,135;-0,007
"2018-05-02 20:30:00";4,046;-0,006
"2018-05-02 20:45:00";3,835;-0,006
"2018-05-02 21:00:00";3,768;-0,006
"2018-05-02 21:15:00";3,767;-0,006
"2018-05-02 21:30:00";2,287;-0,005
"2018-05-02 21:45:00";1,687;-0,005
"2018-05-02 22:00:00";0,695;-0,006
"2018-05-02 22:15:00";0,665;-0,005
"2018-05-02 22:30:00";0,649;-0,005
"2018-05-02 22:45:00";0,658;-0,005
"2018-05-02 23:00:00";0,699;-0,005
"2018-05-02 23:15:00";0,52;-0,005
"2018-05-02 23:30:00";0,488;-0,005
"2018-05-02 23:45:00";0,402;-0,006
"2018-05-03 00:00:00";0,495;-0,006
"2018-05-03 00:15:00";0,492;-0,006
"2018-05-03 00:30:00";0,475;-0,006
"2018-05-03 00:45:00";0,467;-0,006
"2018-05-03 02:00:00";0,403;-0,005
"2018-05-03 02:15:00";0,398;-0,005
"2018-05-03 02:30:00";0,39;-0,005
"2018-05-03 02:45:00";0,317;-0,006
"2018-05-03 03:00:00";0,256;-0,007
"2018-05-03 03:15:00";0,335;-0,006
"2018-05-03 03:30:00";0,403;-0,005
"2018-05-03 03:45:00";0,395;-0,005
"2018-05-03 04:00:00";0,355;-0,005
"2018-05-03 04:15:00";0,282;-0,006
"2018-05-03 04:30:00";0,267;-0,006
"2018-05-03 04:45:00";0,376;-0,005
"2018-05-03 05:00:00";0,396;-0,005
"2018-05-03 05:15:00";0,366;-0,005
"2018-05-03 05:30:00";0,294;-0,006
"2018-05-03 05:45:00";0,249;-0,007
"2018-05-03 06:00:00";0,361;-0,005
"2018-05-03 06:15:00";0,397;-0,005
"2018-05-03 06:30:00";0,41;-0,005
"2018-05-03 06:45:00";0,625;-0,005
"2018-05-03 07:00:00";0,935;-0,003
"2018-05-03 07:15:00";0,734;0,008
"2018-05-03 07:30:00";0,648;0,08
"2018-05-03 07:45:00";0,518;0,152
"2018-05-03 08:00:00";0,458;0,19
"2018-05-03 08:15:00";0,33;0,29
"2018-05-03 08:30:00";0,454;0,25
"2018-05-03 08:45:00";0,373;0,334
"2018-05-03 10:00:00";0,487;0,264
"2018-05-03 10:15:00";0,533;0,377
"2018-05-03 10:30:00";-0,442;1,035
"2018-05-03 10:45:00";-0,236;0,821
"2018-05-03 11:00:00";-0,581;1,226
"2018-05-03 11:15:00";-0,05;1,475
"2018-05-03 11:30:00";0,073;1,57
"2018-05-03 11:45:00";-0,406;1,112
"2018-05-03 12:00:00";0,653;0,867
"2018-05-03 12:15:00";1,508;0,948
"2018-05-03 12:30:00";0,897;0,461
"2018-05-03 12:45:00";3,128;0,457
"2018-05-03 13:00:00";0,217;0,352
"2018-05-03 13:15:00";1,678;0,12
"2018-05-03 13:30:00";3,661;0,142
"2018-05-03 13:45:00";3,5;0,297
"2018-05-03 14:00:00";3,299;0,388
"2018-05-03 14:15:00";2,766;0,953
"2018-05-03 14:30:00";2,901;0,767
"2018-05-03 14:45:00";1,587;0,943
"2018-05-03 15:00:00";1,099;1,076
"2018-05-03 15:15:00";1,731;1,096
"2018-05-03 15:30:00";2,159;1,784
"2018-05-03 15:45:00";-0,129;1,867
"2018-05-03 16:00:00";2,391;1,434
"2018-05-03 16:15:00";2,054;1,111
"2018-05-03 16:30:00";2,799;0,811
"2018-05-03 16:45:00";2,993;0,487
"2018-05-03 17:00:00";2,614;0,372
"2018-05-03 17:15:00";3,604;0,188
"2018-05-03 17:30:00";2,399;0,151
"2018-05-03 17:45:00";3,781;0,136
"2018-05-03 18:00:00";2,518;0,196
"2018-05-03 18:15:00";3,734;0,205
"2018-05-03 18:30:00";2,499;0,252
"2018-05-03 18:45:00";3,662;0,177
"2018-05-03 19:00:00";3,805;0,086
"2018-05-03 19:15:00";3,847;0,024
"2018-05-03 19:30:00";3,834;-0,004
"2018-05-03 19:45:00";2,285;-0,007
"2018-05-03 20:00:00";3,085;-0,007
"2018-05-03 20:15:00";1,886;-0,006
"2018-05-03 20:30:00";2,078;-0,005
"2018-05-03 20:45:00";2,847;-0,005
"2018-05-03 21:00:00";1,448;-0,004
"2018-05-03 21:15:00";2,556;-0,005
"2018-05-03 21:30:00";2,089;-0,004
"2018-05-03 21:45:00";0,59;-0,004
"2018-05-03 22:00:00";0,551;-0,004
"2018-05-03 22:15:00";0,594;-0,003
"2018-05-03 22:30:00";0,608;-0,004
"2018-05-03 22:45:00";0,561;-0,004
"2018-05-03 23:00:00";0,558;-0,004
"2018-05-03 23:15:00";0,574;-0,004
"2018-05-03 23:30:00";0,522;-0,004
"2018-05-03 23:45:00";0,384;-0,005
"2018-05-04 00:00:00";0,333;-0,006
"2018-05-04 00:15:00";0,314;-0,006
"2018-05-04 00:30:00";0,384;-0,005
"2018-05-04 00:45:00";0,296;-0,006
"2018-05-04 01:00:00";0,31;-0,006
"2018-05-04 01:15:00";0,341;-0,006
"2018-05-04 01:30:00";0,305;-0,006
"2018-05-04 01:45:00";0,391;-0,005
"2018-05-04 02:00:00";0,298;-0,006
"2018-05-04 02:15:00";0,301;-0,006
"2018-05-04 02:30:00";0,345;-0,006
"2018-05-04 02:45:00";0,299;-0,006
"2018-05-04 03:00:00";0,393;-0,005
"2018-05-04 03:15:00";0,306;-0,006
"2018-05-04 03:30:00";0,289;-0,006
"2018-05-04 03:45:00";0,335;-0,006
"2018-05-04 04:00:00";0,321;-0,006
"2018-05-04 04:15:00";0,391;-0,005
"2018-05-04 04:30:00";0,308;-0,006
"2018-05-04 04:45:00";0,289;-0,006
"2018-05-04 05:00:00";0,349;-0,006
"2018-05-04 05:15:00";0,382;-0,006
"2018-05-04 05:30:00";0,426;-0,005
"2018-05-04 05:45:00";0,383;-0,005
"2018-05-04 06:00:00";0,394;-0,005
"2018-05-04 06:15:00";0,459;-0,005
"2018-05-04 06:30:00";0,495;-0,006
"2018-05-04 06:45:00";0,596;-0,006
"2018-05-04 07:00:00";0,616;-0,01
"2018-05-04 07:15:00";0,732;-0,016
"2018-05-04 07:30:00";1,017;-0,017
"2018-05-04 07:45:00";1,054;-0,01
"2018-05-04 08:00:00";0,89;-0,006
"2018-05-04 08:15:00";0,622;-0,007
"2018-05-04 08:30:00";0,622;-0,006
"2018-05-04 08:45:00";0,646;-0,007
"2018-05-04 09:00:00";1,139;-0,011
"2018-05-04 09:15:00";1,155;-0,011
"2018-05-04 09:30:00";1,629;-0,015
"2018-05-04 09:45:00";1,366;-0,013
"2018-05-04 10:00:00";0,872;-0,009
"2018-05-04 10:15:00";1,02;-0,011
"2018-05-04 10:30:00";0,724;-0,009
"2018-05-04 10:45:00";0,797;-0,007
"2018-05-04 12:00:00";0,758;0,023
"2018-05-04 12:15:00";0,771;0,074
"2018-05-04 12:30:00";0,406;0,324
"2018-05-04 12:45:00";0,218;0,444
"2018-05-04 13:00:00";0,42;0,398
"2018-05-04 13:15:00";0,51;0,263
"2018-05-04 13:30:00";0,492;0,336
"2018-05-04 13:45:00";0,401;0,374
"2018-05-04 14:00:00";0,632;0,066
"2018-05-04 14:15:00";0,652;0,111
"2018-05-04 14:30:00";4,886;0,158
"2018-05-04 14:45:00";1,137;0,278
"2018-05-04 15:00:00";0,458;0,383
"2018-05-04 15:15:00";0,365;0,456
"2018-05-04 15:30:00";0,663;0,262
"2018-05-04 15:45:00";0,835;0,376
"2018-05-04 16:00:00";0,554;0,624
"2018-05-04 16:15:00";0,915;0,181
"2018-05-04 16:30:00";0,776;0,108
"2018-05-04 16:45:00";0,734;0,125
"2018-05-04 17:00:00";0,798;0,135
"2018-05-04 17:15:00";0,833;0,15
"2018-05-04 17:30:00";0,792;0,065
"2018-05-04 17:45:00";0,762;0,066
"2018-05-04 18:00:00";0,847;0,048
"2018-05-04 18:15:00";0,828;0,027
"2018-05-04 18:30:00";0,92;-0,006
"2018-05-04 18:45:00";7,284;-0,007
"2018-05-04 19:00:00";6,82;-0,008
"2018-05-04 19:15:00";5,267;-0,008
"2018-05-04 19:30:00";2,29;-0,004
"2018-05-04 19:45:00";4,249;-0,005
"2018-05-04 20:00:00";4,592;-0,006
"2018-05-04 20:15:00";4,929;-0,005
"2018-05-04 20:30:00";4,698;-0,003
"2018-05-04 20:45:00";3,052;-0,004
"2018-05-04 21:00:00";1,027;-0,005
"2018-05-04 21:15:00";0,8;-0,003
"2018-05-04 21:30:00";0,723;-0,004
"2018-05-04 21:45:00";0,68;-0,004
"2018-05-04 22:00:00";0,73;-0,004
"2018-05-04 22:15:00";0,714;-0,004
"2018-05-04 22:30:00";0,703;-0,004
"2018-05-04 22:45:00";0,63;-0,004
"2018-05-04 23:00:00";0,687;-0,004
"2018-05-04 23:15:00";0,632;-0,004
"2018-05-04 23:30:00";0,451;-0,006
"2018-05-04 23:45:00";0,388;-0,006
"2018-05-05 00:00:00";0,27;-0,007
"2018-05-05 00:15:00";0,396;-0,006
"2018-05-05 00:30:00";0,443;-0,006
"2018-05-05 00:45:00";0,434;-0,006
"2018-05-05 01:00:00";0,377;-0,006
"2018-05-05 01:15:00";0,307;-0,007
"2018-05-05 01:30:00";0,358;-0,006
"2018-05-05 01:45:00";0,536;-0,005
"2018-05-05 02:00:00";0,76;-0,003
"2018-05-05 02:15:00";0,386;-0,006
"2018-05-05 02:30:00";0,38;-0,006
"2018-05-05 02:45:00";0,372;-0,006
"2018-05-05 03:00:00";0,451;-0,006
"2018-05-05 03:15:00";0,437;-0,006
"2018-05-05 03:30:00";0,418;-0,006
"2018-05-05 03:45:00";0,345;-0,006
"2018-05-05 04:00:00";0,368;-0,006
"2018-05-05 04:15:00";0,378;-0,006
"2018-05-05 04:30:00";0,383;-0,006
"2018-05-05 04:45:00";0,403;-0,006
"2018-05-05 05:00:00";0,345;-0,006
"2018-05-05 05:15:00";0,391;-0,006
"2018-05-05 05:30:00";0,375;-0,006
"2018-05-05 05:45:00";0,378;-0,006
"2018-05-05 06:00:00";0,375;-0,006
"2018-05-05 06:15:00";0,345;-0,007
"2018-05-05 06:30:00";0,432;-0,006
"2018-05-05 06:45:00";0,343;0,019
"2018-05-05 07:00:00";0,319;0,083
"2018-05-05 07:15:00";0,197;0,165
"2018-05-05 07:30:00";0,177;0,192
"2018-05-05 07:45:00";0,476;0,181
"2018-05-05 08:00:00";0,239;0,2
"2018-05-05 08:15:00";0,346;0,17
"2018-05-05 08:30:00";0,309;0,168
"2018-05-05 08:45:00";0,252;0,271
"2018-05-05 09:00:00";0,596;0,419
"2018-05-05 09:15:00";0,127;0,581
"2018-05-05 09:30:00";-0,202;0,749
"2018-05-05 09:45:00";-0,347;0,787
"2018-05-05 10:00:00";-0,394;1,108
"2018-05-05 10:15:00";-0,593;1,276
"2018-05-05 10:30:00";-0,751;1,443
"2018-05-05 10:45:00";-1,051;1,588
"2018-05-05 11:00:00";-1,084;1,732
"2018-05-05 11:15:00";-1,149;1,855
"2018-05-05 11:30:00";-1,247;1,978
"2018-05-05 11:45:00";-1,3;2,08
"2018-05-05 12:00:00";-1,465;2,175
"2018-05-05 12:15:00";-1,599;2,269
"2018-05-05 12:30:00";-1,678;2,34
"2018-05-05 12:45:00";-1,736;2,4
"2018-05-05 13:00:00";-1,842;2,478
"2018-05-05 13:15:00";-1,987;2,519
"2018-05-05 13:30:00";-1,743;2,517
"2018-05-05 13:45:00";-1,192;2,444
"2018-05-05 14:00:00";-1,513;2,531
"2018-05-05 14:15:00";-1,673;2,505
"2018-05-05 14:30:00";-1,659;2,434
"2018-05-05 14:45:00";-1,165;2,381
"2018-05-05 15:00:00";-1,104;2,296
"2018-05-05 15:15:00";1,646;2,216
"2018-05-05 15:30:00";2,006;2,127
"2018-05-05 15:45:00";2,292;1,834
"2018-05-05 16:00:00";2,298;1,78
"2018-05-05 16:15:00";2,227;1,806
"2018-05-05 16:30:00";2,528;1,569
"2018-05-05 16:45:00";1,352;1,54
"2018-05-05 17:00:00";2,781;1,37
"2018-05-05 17:15:00";2,966;1,098
"2018-05-05 17:30:00";3,226;0,921
"2018-05-05 17:45:00";2,957;0,749
"2018-05-05 18:00:00";3,195;0,473
"2018-05-05 18:15:00";3,294;0,371
"2018-05-05 18:30:00";3,362;0,252
"2018-05-05 18:45:00";3,388;0,136
"2018-05-05 19:00:00";3,534;0,059
"2018-05-05 19:15:00";3,56;0,022
"2018-05-05 19:30:00";3,575;-0,004
"2018-05-05 19:45:00";3,505;-0,013
"2018-05-05 20:00:00";3,819;-0,005
"2018-05-05 20:15:00";3,592;-0,007
"2018-05-05 20:30:00";2,115;-0,007
"2018-05-05 20:45:00";2,576;-0,006
"2018-05-05 21:00:00";2,091;-0,006
"2018-05-05 21:15:00";1,328;-0,004
"2018-05-05 21:30:00";1,336;-0,004
"2018-05-05 21:45:00";0,822;-0,005
"2018-05-05 22:00:00";0,579;-0,005
"2018-05-05 22:15:00";0,694;-0,003
"2018-05-05 22:30:00";0,614;-0,004
"2018-05-05 22:45:00";0,641;-0,004
"2018-05-05 23:00:00";1,817;-0,004
"2018-05-05 23:15:00";1,743;-0,004
"2018-05-05 23:30:00";0,742;-0,005
"2018-05-05 23:45:00";1,699;-0,005
"2018-05-06 00:00:00";2,191;-0,005
"2018-05-06 00:15:00";0,621;-0,004
"2018-05-06 00:30:00";2,299;-0,005
"2018-05-06 00:45:00";1,422;-0,006
"2018-05-06 01:00:00";0,669;-0,005
"2018-05-06 01:15:00";1,656;-0,006
"2018-05-06 01:30:00";1,27;-0,006
"2018-05-06 01:45:00";0,574;-0,006
"2018-05-06 02:00:00";1,335;-0,006
"2018-05-06 02:15:00";0,459;-0,005
"2018-05-06 02:30:00";1,052;-0,006
"2018-05-06 02:45:00";0,363;-0,006
"2018-05-06 03:00:00";0,297;-0,006
"2018-05-06 03:15:00";0,365;-0,006
"2018-05-06 03:30:00";0,417;-0,006
"2018-05-06 03:45:00";0,415;-0,006
"2018-05-06 04:00:00";0,386;-0,006
"2018-05-06 04:15:00";0,25;-0,007
"2018-05-06 04:30:00";0,346;-0,006
"2018-05-06 04:45:00";0,426;-0,006
"2018-05-06 06:00:00";0,351;-0,006
"2018-05-06 06:15:00";0,408;-0,007
"2018-05-06 06:30:00";0,339;-0,005
"2018-05-06 06:45:00";0,389;0,012
"2018-05-06 07:00:00";0,334;0,031
"2018-05-06 07:15:00";0,27;0,052
"2018-05-06 07:30:00";0,268;0,061
"2018-05-06 07:45:00";0,284;0,077
"2018-05-06 08:00:00";0,444;0,085
"2018-05-06 08:15:00";0,522;0,105
"2018-05-06 08:30:00";0,831;0,17
"2018-05-06 08:45:00";0,967;0,282
"2018-05-06 09:00:00";0,313;0,42
"2018-05-06 09:15:00";0,266;0,584
"2018-05-06 09:30:00";0,129;0,754
"2018-05-06 09:45:00";-0,045;0,922
"2018-05-06 10:00:00";-0,201;1,088
"2018-05-06 10:15:00";-0,279;1,25
"2018-05-06 10:30:00";-0,439;1,409
"2018-05-06 10:45:00";0,156;1,554
"2018-05-06 11:00:00";-0,396;1,676
"2018-05-06 11:15:00";-0,353;1,798
"2018-05-06 11:30:00";0,409;1,926
"2018-05-06 11:45:00";-0,06;2,024
"2018-05-06 12:00:00";0,204;2,117
"2018-05-06 12:15:00";-1,499;2,197
"2018-05-06 12:30:00";1,376;2,246
"2018-05-06 12:45:00";1,878;2,296
"2018-05-06 13:00:00";1,835;2,347
"2018-05-06 13:15:00";1,697;2,365
"2018-05-06 13:30:00";1,681;2,413
"2018-05-06 13:45:00";1,777;2,415
"2018-05-06 14:00:00";1,828;2,391
"2018-05-06 14:15:00";2,257;2,355
"2018-05-06 14:30:00";1,81;2,324
"2018-05-06 14:45:00";1,908;2,291
"2018-05-06 15:00:00";1,959;2,228
"2018-05-06 15:15:00";2,062;2,132
"2018-05-06 15:30:00";2,275;2,048
"2018-05-06 15:45:00";2,369;1,953
"2018-05-06 16:00:00";2,647;1,839
"2018-05-06 16:15:00";2,439;1,7
"2018-05-06 16:30:00";2,692;1,569
"2018-05-06 16:45:00";2,874;1,424
"2018-05-06 17:00:00";3,005;1,261
"2018-05-06 17:15:00";3,134;1,09
"2018-05-06 17:30:00";3,191;0,919
"2018-05-06 17:45:00";3,556;0,74
"2018-05-06 19:00:00";4,131;0,056
"2018-05-06 19:15:00";4,168;0,026
"2018-05-06 19:30:00";4,161;0,002
"2018-05-06 19:45:00";7,814;-0,01
"2018-05-06 20:00:00";7,898;-0,007
"2018-05-06 20:15:00";5,929;-0,007
"2018-05-06 20:30:00";3,384;-0,012
"2018-05-06 20:45:00";3,889;-0,012
"2018-05-06 21:00:00";2,797;-0,016
"2018-05-06 21:15:00";2,302;-0,01
"2018-05-06 21:30:00";3,384;-0,006
"2018-05-06 21:45:00";3,937;-0,008
"2018-05-06 22:00:00";3,454;-0,006
"2018-05-06 22:15:00";3,335;-0,006
"2018-05-06 22:30:00";3,449;-0,005
"2018-05-06 22:45:00";3,459;-0,005
"2018-05-06 23:00:00";3,394;-0,005
"2018-05-06 23:15:00";2,297;-0,005
"2018-05-06 23:30:00";2,911;-0,006
"2018-05-06 23:45:00";1,839;-0,006
"2018-05-07 00:00:00";2,895;-0,006
"2018-05-07 00:15:00";1,074;-0,005
"2018-05-07 00:30:00";1,817;-0,006
"2018-05-07 00:45:00";1,453;-0,007
"2018-05-07 01:00:00";0,927;-0,007
"2018-05-07 01:15:00";0,987;-0,005
"2018-05-07 01:30:00";1,285;-0,005
"2018-05-07 01:45:00";0,339;-0,005
"2018-05-07 02:00:00";0,244;-0,007
"2018-05-07 02:15:00";0,273;-0,006
"2018-05-07 02:30:00";0,391;-0,005
"2018-05-07 02:45:00";0,378;-0,006
"2018-05-07 04:00:00";0,373;-0,006
"2018-05-07 04:15:00";0,304;-0,006
"2018-05-07 04:30:00";0,205;-0,007
"2018-05-07 04:45:00";0,359;-0,006
"2018-05-07 05:00:00";0,422;-0,005
"2018-05-07 05:15:00";0,411;-0,006
"2018-05-07 05:30:00";0,29;-0,007
"2018-05-07 05:45:00";0,27;-0,007
"2018-05-07 06:00:00";0,41;-0,005
"2018-05-07 06:15:00";0,419;-0,007
"2018-05-07 06:30:00";0,458;-0,005
"2018-05-07 06:45:00";0,469;0,004
"2018-05-07 07:00:00";0,72;0,032
"2018-05-07 07:15:00";0,761;0,052
"2018-05-07 07:30:00";0,871;0,067
"2018-05-07 07:45:00";0,828;0,08
"2018-05-07 08:00:00";0,721;0,091
"2018-05-07 08:15:00";0,791;0,12
"2018-05-07 08:30:00";0,646;0,188
"2018-05-07 08:45:00";0,484;0,285
"2018-05-07 09:00:00";0,35;0,42
"2018-05-07 09:15:00";0,278;0,582
"2018-05-07 09:30:00";0,097;0,75
"2018-05-07 09:45:00";0,013;0,918
"2018-05-07 10:00:00";-0,249;1,092
"2018-05-07 10:15:00";-0,523;1,257
"2018-05-07 10:30:00";0,017;1,406
"2018-05-07 10:45:00";0,217;1,545
"2018-05-07 11:00:00";0,116;1,682
"2018-05-07 11:15:00";-0,734;1,809
"2018-05-07 11:30:00";0,835;1,949
"2018-05-07 11:45:00";0,689;1,961
